USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13001950100,322979065,9364028,124.703,3.615,31.8787134,-82.2783139
GA,13001950200,156866925,971313,60.567,0.375,31.784919,-82.2853181
GA,13001950300,71845526,121743,27.74,0.047,31.7668418,-82.3719348
GA,13001950400,388759714,568755,150.101,0.22,31.6667971,-82.188242
GA,13001950500,373037056,2237166,144.03,0.864,31.6892652,-82.3809625
GA,13003960100,254580253,2644428,98.294,1.021,31.3276591,-83.0243534
GA,13003960200,394525639,8959828,152.327,3.459,31.2629144,-82.8826269
GA,13003960300,229681626,1946701,88.681,0.752,31.2890885,-82.7116931
GA,13005970100,374849231,2290407,144.73,0.884,31.5633274,-82.3878591
GA,13005970201,166192657,1277603,64.167,0.493,31.6004803,-82.5521364
GA,13005970202,194608784,1057851,75.139,0.408,31.4896064,-82.4891054
GA,13007960100,470625162,14157745,181.709,5.466,31.3322322,-84.3614663
GA,13007960200,415040220,4440910,160.248,1.715,31.3164297,-84.5480892
GA,13009970100,214821239,10713976,82.943,4.137,33.0702261,-83.1483285
GA,13009970200,29071390,7400404,11.225,2.857,33.1437325,-83.238921
GA,13009970300,54757032,4991272,21.142,1.927,33.1359754,-83.284675
GA,13009970400,6542575,6509,2.526,0.003,33.104126,-83.2463982
GA,13009970500,140647848,714258,54.304,0.276,33.0956212,-83.3402448
GA,13009970600,14436166,25267,5.574,0.01,33.0603143,-83.2492437
GA,13009970701,4664077,7003,1.801,0.003,33.0627728,-83.2220991
GA,13009970702,7359778,155427,2.842,0.06,33.0528451,-83.212589
GA,13009970800,197727445,788849,76.343,0.305,33.0008571,-83.2910907
GA,13011970100,164680326,834530,63.583,0.322,34.4349644,-83.5178477
GA,13011970200,193263667,774820,74.62,0.299,34.3680144,-83.4828465
GA,13011970300,117734022,1954306,45.457,0.755,34.3195605,-83.584094
GA,13011970400,125439821,1087495,48.433,0.42,34.2679898,-83.4051991
GA,13013180103,30447017,299893,11.756,0.116,34.0791395,-83.8083173
GA,13013180104,8210774,8051,3.17,0.003,34.0039233,-83.8376338
GA,13013180105,16282906,64643,6.287,0.025,34.0407429,-83.8154809
GA,13013180106,12364383,81859,4.774,0.032,34.0237319,-83.8424034
GA,13013180107,19203955,168914,7.415,0.065,34.0149642,-83.7894941
GA,13013180108,20251761,273789,7.819,0.106,33.976854,-83.8023847
GA,13013180203,5653205,15023,2.183,0.006,33.984387,-83.6972806
GA,13013180204,15065069,1016229,5.817,0.392,33.9679563,-83.7177095
GA,13013180205,10892852,134119,4.206,0.052,33.9896846,-83.7449601
GA,13013180206,6993749,40117,2.7,0.015,34.0200311,-83.7160978
GA,13013180301,21407033,224964,8.265,0.087,33.985961,-83.6615446
GA,13013180302,29767504,615369,11.493,0.238,34.0239752,-83.6892035
GA,13013180303,28272863,475654,10.916,0.184,34.0419614,-83.7434344
GA,13013180401,55500102,876590,21.429,0.338,33.9905069,-83.6194325
GA,13013180402,41108972,238845,15.872,0.092,33.9869507,-83.5733438
GA,13013180501,26143761,743061,10.094,0.287,33.9555895,-83.7805108
GA,13013180502,45669754,296735,17.633,0.115,33.9355089,-83.679685
GA,13013180503,23048288,134134,8.899,0.052,33.9261204,-83.7488667
GA,13015960101,93396460,0,36.061,0,34.3777517,-84.7259884
GA,13015960102,220004734,470926,84.944,0.182,34.2962387,-84.7427869
GA,13015960200,176267864,285285,68.057,0.11,34.3422483,-84.9181558
GA,13015960300,158906952,744392,61.354,0.287,34.2583925,-84.9461426
GA,13015960401,17749624,0,6.853,0,34.2184808,-84.8213638
GA,13015960402,51464882,422945,19.871,0.163,34.2348828,-84.7965029
GA,13015960500,24292776,0,9.379,0,34.1993775,-84.8443598
GA,13015960600,24652320,341533,9.518,0.132,34.1491155,-84.8127113
GA,13015960700,65578326,7425107,25.32,2.867,34.1911439,-84.7233765
GA,13015960801,19439455,4684977,7.506,1.809,34.1222319,-84.6749954
GA,13015960802,13851443,4258630,5.348,1.644,34.1106699,-84.6975654
GA,13015960803,77220341,5382233,29.815,2.078,34.1109918,-84.769506
GA,13015960901,33413223,739181,12.901,0.285,34.1225065,-84.8725548
GA,13015960902,36487932,172819,14.088,0.067,34.172493,-84.8702779
GA,13015961000,177428000,2440174,68.505,0.942,34.1347778,-84.9733063
GA,13017960100,297129679,4499526,114.722,1.737,31.7436857,-83.1094969
GA,13017960200,233144390,2928381,90.018,1.131,31.7996043,-83.3416086
GA,13017960300,28973843,417091,11.187,0.161,31.7258594,-83.3033334
GA,13017960400,11613696,175115,4.484,0.068,31.7247864,-83.22735
GA,13017960500,76951774,1782993,29.711,0.688,31.6825891,-83.2179805
GA,13019970100,244576660,1115910,94.432,0.431,31.3926459,-83.1997522
GA,13019970200,242981233,4956291,93.816,1.914,31.3714641,-83.3384099
GA,13019970300,150638328,1204503,58.162,0.465,31.2406903,-83.2961258
GA,13019970400,265421804,3285082,102.48,1.268,31.2603717,-83.1275022
GA,13019970500,140775995,2591555,54.354,1.001,31.1742562,-83.1839001
GA,13019970600,126107526,2255769,48.69,0.871,31.0800024,-83.2320385
GA,13021010100,1369444,0,0.529,0,32.8465487,-83.6454904
GA,13021010200,1574104,0,0.608,0,32.8446991,-83.6564703
GA,13021010300,1342752,0,0.518,0,32.8368059,-83.656555
GA,13021010400,2178049,0,0.841,0,32.8260135,-83.6645028
GA,13021010500,1356117,0,0.524,0,32.8259274,-83.6505757
GA,13021010800,1637256,52050,0.632,0.02,32.8441758,-83.6361825
GA,13021011000,13856788,366049,5.35,0.141,32.8740448,-83.6313081
GA,13021011100,3757711,79991,1.451,0.031,32.8591042,-83.6043296
GA,13021011500,1087947,0,0.42,0,32.8188144,-83.6430662
GA,13021011701,4219172,5245,1.629,0.002,32.8727164,-83.5959332
GA,13021011702,8777706,248989,3.389,0.096,32.8598063,-83.566813
GA,13021011800,4528516,7919,1.748,0.003,32.8593789,-83.6761928
GA,13021011900,3432393,110785,1.325,0.043,32.8588167,-83.654242
GA,13021012000,8518867,232605,3.289,0.09,32.8801073,-83.6679269
GA,13021012101,4682729,0,1.808,0,32.8672455,-83.7104126
GA,13021012102,7373649,0,2.847,0,32.8826735,-83.6957987
GA,13021012200,3743175,23791,1.445,0.009,32.853688,-83.704563
GA,13021012300,3033197,33030,1.171,0.013,32.8425459,-83.6741239
