Code,Area (Square meters),Latitude,Longitude
36061000100,77654,40.6900008,-74.0461708
36061000201,166209,40.7098961,-73.9855833
36061000202,738776,40.7085736,-73.9789944
36061000500,4237278,40.6903066,-74.017891
36061000600,416424,40.7102579,-73.9880558
36061000700,499469,40.7038083,-74.0050195
36061000800,388614,40.7101181,-73.9932525
36061000900,775251,40.6986408,-74.005897
36061001001,324442,40.71144,-73.9721475
36061001002,444821,40.715481,-73.9714373
36061001200,120597,40.7159065,-73.9820936
36061001300,312732,40.7090838,-74.0129778
36061001401,93510,40.7151603,-73.9873314
36061001402,113920,40.7175134,-73.9858814
36061001501,432909,40.7075653,-74.0013991
36061001502,354079,40.7049074,-74.002583
36061001600,207377,40.7159568,-73.993266
36061001800,222968,40.7190464,-73.9908408
36061002000,264166,40.7183569,-73.9702209
36061002100,236794,40.7143296,-74.0100434
36061002201,161667,40.7191156,-73.9818443
36061002202,56112,40.7212597,-73.9811412
36061002400,652598,40.7221618,-73.9682501
36061002500,225632,40.7089899,-73.9962356
36061002601,106047,40.722585,-73.9799302
36061002602,103692,40.7243901,-73.9786159
36061002700,59282,40.7125508,-73.9990121
36061002800,183616,40.7268632,-73.9768124
36061002900,273357,40.7141595,-74.0005401
36061003001,124153,40.7210057,-73.9868387
36061003002,78525,40.7229641,-73.9858662
36061003100,204969,40.715311,-74.0038151
36061003200,217682,40.7255579,-73.9837166
36061003300,341677,40.7188624,-74.0061463
36061003400,160257,40.7290092,-73.9814618
36061003601,99812,40.7223222,-73.9911397
36061003602,89011,40.7245631,-73.990206
36061003700,705732,40.7269119,-74.0167229
36061003800,202371,40.7273669,-73.9884656
36061003900,778489,40.7204981,-74.0122662
36061004000,178340,40.7307448,-73.9860235
36061004100,191275,40.7191639,-73.9966958
36061004200,85723,40.7318035,-73.9893679
36061004300,149239,40.7233237,-73.9954663
36061004400,875252,40.7278421,-73.9715756
36061004500,104947,40.7205701,-73.9993912
36061004700,165421,40.722419,-74.0028628
36061004800,175756,40.7338561,-73.9837297
36061004900,207320,40.7250607,-74.0004802
36061005000,166467,40.7361115,-73.9872138
36061005200,168892,40.7374356,-73.9904555
36061005400,167959,40.7388112,-73.993678
36061005501,124447,40.7276733,-73.997083
36061005502,115486,40.7262229,-73.993872
36061005600,174425,40.7417922,-73.9872974
36061005700,108054,40.729416,-73.9923912
36061005800,174669,40.7431498,-73.9905172
36061005900,116172,40.7312895,-73.9945614
36061006000,419757,40.7311706,-73.9677779
36061006100,142017,40.7337076,-73.9923293
36061006200,1155791,40.7364871,-73.9674406
36061006300,178187,40.7344214,-73.9968603
36061006400,179196,40.7369488,-73.981457
36061006500,201131,40.7299685,-73.9995774
36061006600,174704,40.7400705,-73.9792317
36061006700,168478,40.7304513,-74.0041205
36061006800,174443,40.7404366,-73.9840803
36061006900,496033,40.7294288,-74.0125049
36061007000,177329,40.743185,-73.9769614
36061007100,164996,40.7354477,-73.9999139
36061007200,175015,40.7448656,-73.9808585
36061007300,165299,40.7341146,-74.0041065
36061007400,174085,40.7462136,-73.9840829
36061007500,449567,40.7343782,-74.0151997
36061007600,174274,40.7475672,-73.987298
36061007700,178798,40.7380851,-74.0032966
36061007800,177474,40.7463235,-73.9746729
36061007900,787986,40.7397795,-74.0144915
36061008000,172626,40.7492588,-73.977652
36061008100,174287,40.7398053,-73.9987713
36061008200,172401,40.7506132,-73.9808741
36061008300,174158,40.7421983,-74.004453
36061008400,173067,40.7519695,-73.9840942
36061008601,625182,40.7435573,-73.9656822
36061008602,423754,40.7479483,-73.9627784
36061008603,270611,40.7525143,-73.9617418
36061008700,165443,40.7422439,-73.9969962
36061008800,179256,40.7494997,-73.9723847
36061008900,165578,40.744638,-74.0026785
36061009000,174692,40.7526586,-73.9700939
36061009100,179099,40.7447178,-73.9951959
36061009200,197023,40.7536476,-73.9747422
36061009300,179101,40.7471119,-74.0008752
36061009400,152754,40.7552279,-73.9777463
36061009500,171964,40.7472363,-73.9933578
36061009600,175329,40.7563748,-73.9808861
36061009700,172931,40.7496397,-73.999034
36061009800,177068,40.755788,-73.9677745
36061009900,2132710,40.7495435,-74.0091035
36061010000,172894,40.7580653,-73.9712318
36061010100,175518,40.7497314,-73.9915412
36061010200,172891,40.7594238,-73.9744493
36061010300,174470,40.7521351,-73.9972172
36061010400,173232,40.7607791,-73.9776729
