Code,Area (Square meters),Latitute,Longitude
6071000103,2852831,34.0159236,-117.7526025
6071000104,4150307,34.0059225,-117.7509536
6071000105,5752076,33.9935047,-117.7390123
6071000107,1411498,33.9861394,-117.7223861
6071000108,2879346,33.9714129,-117.7402927
6071000109,3251821,33.9733424,-117.7236934
6071000111,10802593,33.9515802,-117.7602901
6071000113,5870704,33.9707113,-117.7041071
6071000115,12362392,33.9605922,-117.6752707
6071000116,54933180,33.9228872,-117.7016019
6071000117,5404425,33.9779813,-117.7591574
6071000118,14267978,33.9791911,-117.782242
6071000201,2941045,34.089251,-117.6958358
6071000203,1471872,34.0780501,-117.7025687
6071000205,1621774,34.0801578,-117.6870214
6071000207,1257678,34.0703739,-117.7067072
6071000208,1300365,34.0704075,-117.6895559
6071000301,2695350,34.063215,-117.6996325
6071000303,2095523,34.0524327,-117.7146207
6071000304,3266956,34.0536544,-117.6940863
6071000401,6007944,34.0150788,-117.7236934
6071000403,3422931,34.0393978,-117.7129533
6071000404,2821544,34.0410264,-117.6905171
6071000501,2596878,34.0262054,-117.7068103
6071000503,1286732,34.0153204,-117.7067276
6071000504,10850769,33.9996721,-117.6947906
6071000603,2253129,34.0299818,-117.6829758
6071000604,2267250,34.0227451,-117.6828193
6071000605,1279383,34.0155079,-117.6893011
6071000606,970274,34.0155355,-117.6740258
6071000804,6612888,34.1564204,-117.6587047
6071000808,2554426,34.1124237,-117.6396061
6071000812,2824389,34.1162929,-117.6203693
6071000813,2791211,34.1406258,-117.677823
6071000814,2772686,34.141776,-117.6602406
6071000815,2489992,34.127201,-117.6804289
6071000816,2556773,34.128025,-117.6607424
6071000817,3951300,34.1139305,-117.6834893
6071000818,2854113,34.1142493,-117.6606628
6071000819,3277011,34.1263041,-117.6326047
6071000820,4489430,34.1365346,-117.6436667
6071000821,2504147,34.1007304,-117.6910613
6071000823,1898550,34.1008082,-117.6718364
6071000824,1442086,34.1024197,-117.6582388
6071000825,952027,34.0916975,-117.6755256
6071000826,1699039,34.0917427,-117.6605421
6071000901,1826385,34.1030014,-117.6395703
6071000903,1303741,34.0962087,-117.6392542
6071000904,1157833,34.0904596,-117.6425122
6071001001,1445447,34.0808017,-117.6754832
6071001002,1203157,34.0687514,-117.6754429
6071001101,791646,34.0660715,-117.6629921
6071001103,1672684,34.0789691,-117.6560801
6071001104,1792399,34.0781089,-117.6654013
6071001200,1540373,34.0794781,-117.6460511
6071001305,1178835,34.0845072,-117.62795
6071001307,1281879,34.0885081,-117.6198734
6071001308,1077531,34.078896,-117.6153156
6071001309,1302383,34.0745733,-117.6247116
6071001310,1417533,34.078078,-117.6369009
6071001311,1537807,34.0856011,-117.5989045
6071001312,2701220,34.0740868,-117.6056183
6071001400,1145810,34.0667976,-117.6510112
6071001501,751632,34.0672615,-117.6409852
6071001503,553822,34.0667141,-117.632426
6071001504,1283698,34.0670436,-117.6199919
6071001600,12420395,34.0577805,-117.6180138
6071001702,2499443,34.0448163,-117.6753207
6071001703,1915335,34.0247905,-117.6591357
6071001704,2036200,34.035798,-117.6599904
6071001706,1114625,34.0526203,-117.6610837
6071001707,1709523,34.0453933,-117.6601251
