USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
WA,53001950100,1615246453,7701924,623.65,2.974,47.1508088,-118.3988155
WA,53001950200,2629319396,2183963,1015.186,0.843,46.9252695,-118.5092655
WA,53001950300,725289095,2614048,280.036,1.009,46.8328914,-119.1181312
WA,53001950400,3422470,0,1.321,0,46.8324166,-119.1664555
WA,53001950500,12385959,0,4.782,0,46.8105682,-119.1599135
WA,53003960100,1340244511,8191372,517.471,3.163,46.1474746,-117.1964025
WA,53003960200,294895316,2335724,113.86,0.902,46.3442652,-117.3012796
WA,53003960300,3965973,645102,1.531,0.249,46.4190278,-117.0501391
WA,53003960400,1586749,0,0.613,0,46.4127102,-117.0673121
WA,53003960500,1850893,0,0.715,0,46.4061367,-117.0499947
WA,53003960600,4900502,103508,1.892,0.04,46.3949655,-117.0631243
WA,53005010100,6310337,4195878,2.436,1.62,46.3162074,-119.2644955
WA,53005010201,43504988,1086149,16.797,0.419,46.3306489,-119.3359909
WA,53005010202,5224160,0,2.017,0,46.3226088,-119.2785281
WA,53005010300,5920778,277117,2.286,0.107,46.2865938,-119.3089064
WA,53005010400,1502237,0,0.58,0,46.2814887,-119.2938376
WA,53005010500,2603015,0,1.005,0,46.2841983,-119.2819
WA,53005010600,7766786,1792187,2.999,0.692,46.2600123,-119.2649214
WA,53005010701,36848714,475406,14.227,0.184,46.2893195,-119.4523124
WA,53005010703,49114513,1575957,18.963,0.608,46.3387116,-119.4122826
WA,53005010705,7514652,79644,2.901,0.031,46.2734965,-119.3380039
WA,53005010707,5552300,0,2.144,0,46.2759694,-119.3701596
WA,53005010708,8568841,107678,3.308,0.042,46.2933833,-119.3658597
WA,53005010803,11561633,110453,4.464,0.043,46.2448253,-119.3037315
WA,53005010805,10961930,2164426,4.232,0.836,46.2455125,-119.2586512
WA,53005010807,97473584,0,37.635,0,46.2051368,-119.4105264
WA,53005010809,3871829,0,1.495,0,46.2218346,-119.2356515
WA,53005010810,5859620,30347,2.262,0.012,46.2081839,-119.2564997
WA,53005010811,23220264,0,8.965,0,46.2207634,-119.3136517
WA,53005010813,20455353,0,7.898,0,46.1916269,-119.21962
WA,53005010814,93427548,0,36.073,0,46.1649261,-119.3112181
WA,53005010901,7322315,344327,2.827,0.133,46.2191229,-119.2093445
WA,53005010902,2563578,0,0.99,0,46.2062577,-119.1912849
WA,53005011001,4359272,1372533,1.683,0.53,46.2220479,-119.1652925
WA,53005011002,2963049,0,1.144,0,46.2041758,-119.169451
WA,53005011100,5167030,0,1.995,0,46.1971927,-119.1489901
WA,53005011200,2518096,0,0.972,0,46.2045535,-119.1330333
WA,53005011300,5250592,1791651,2.027,0.692,46.2088971,-119.1124925
WA,53005011401,2294219,0,0.886,0,46.1944727,-119.1192814
WA,53005011402,7313002,37468,2.824,0.014,46.1798857,-119.1156281
WA,53005011501,52904614,17020202,20.427,6.572,46.1426002,-119.0203912
WA,53005011503,84705132,0,32.705,0,46.1273102,-119.1328938
WA,53005011504,13258241,0,5.119,0,46.1544601,-119.0924953
WA,53005011600,1547637325,90837485,597.546,35.073,45.9981564,-119.4876321
WA,53005011700,35167731,677159,13.578,0.261,46.2045749,-119.7672865
WA,53005011800,876683604,3261178,338.489,1.259,46.2988662,-119.7162676
WA,53005011900,165132479,1023058,63.758,0.395,46.3234455,-119.5823476
WA,53005012000,1140473223,26366499,440.339,10.18,46.5121696,-119.5581728
WA,53007960100,3050054084,86384695,1177.633,33.353,48.0774396,-120.5179641
WA,53007960200,2545988920,20462483,983.012,7.901,47.8027874,-120.8977173
WA,53007960300,454613681,47659452,175.527,18.401,47.9416376,-120.4497409
WA,53007960400,136924338,19186597,52.867,7.408,47.9329418,-120.1070751
WA,53007960500,830733829,1548739,320.748,0.598,47.4702971,-120.5755743
WA,53007960600,9082464,430387,3.507,0.166,47.5090841,-120.4640038
WA,53007960700,136965195,6626089,52.883,2.558,47.5578432,-120.344706
WA,53007960801,25063573,159054,9.677,0.061,47.4488218,-120.3840392
WA,53007960802,7023068,823089,2.712,0.318,47.4430187,-120.3292861
WA,53007961000,3011178,513944,1.163,0.198,47.4216904,-120.3128891
WA,53007961100,6838141,776388,2.64,0.3,47.4003945,-120.3057995
WA,53007961200,315472063,5108829,121.804,1.973,47.3204855,-120.2639238
WA,53007961301,16711689,0,6.452,0,47.3943631,-120.3779245
WA,53007961302,27306437,0,10.543,0,47.4132614,-120.3987639
WA,53009000200,928616677,32622948,358.541,12.596,48.1797346,-124.4116596
WA,53009000300,59395493,93589,22.933,0.036,47.9449687,-124.3707971
WA,53009000400,1061319590,6257330,409.778,2.416,48.0130485,-124.3181458
WA,53009000600,1066105992,24285103,411.626,9.377,48.0037907,-123.8232377
WA,53009000700,12436409,67824,4.802,0.026,48.116665,-123.4915638
WA,53009000800,3147267,0,1.215,0,48.1177852,-123.4627087
WA,53009000900,2317249,0,0.895,0,48.1144131,-123.4452055
WA,53009001000,1783304,0,0.689,0,48.1119682,-123.4287236
WA,53009001100,11069843,4358,4.274,0.002,48.0792075,-123.4393479
WA,53009001200,6626360,0,2.558,0,48.1000168,-123.411369
WA,53009001300,9985664,0,3.855,0,48.1042437,-123.3700006
WA,53009001400,92505220,79300,35.716,0.031,48.0710021,-123.3477931
WA,53009001500,510005733,2189995,196.914,0.846,47.930621,-123.3651009
WA,53009001600,21591300,0,8.336,0,48.1067388,-123.2334297
WA,53009001700,32361001,0,12.495,0,48.1171561,-123.1691053
WA,53009001800,221835200,0,85.651,0,47.9916054,-123.1920584
WA,53009001900,37268797,0,14.39,0,48.1105655,-123.1039854
WA,53009002000,20799234,0,8.031,0,48.088003,-123.0627588
WA,53009002100,3769973,0,1.456,0,48.0787223,-123.100397
WA,53009002300,289851861,71260,111.912,0.028,47.9733074,-123.0081086
WA,53009940000,110360974,462077,42.611,0.178,48.3338551,-124.635404
WA,53009990100,0,2347743752,0,906.469,48.2311825,-123.9388085
WA,53011040101,333652853,16621408,128.824,6.418,45.9208027,-122.364764
WA,53011040102,53791716,59538,20.769,0.023,45.8495399,-122.4574128
WA,53011040201,59075948,1482543,22.809,0.572,45.893325,-122.673652
WA,53011040202,69870913,444729,26.977,0.172,45.9159722,-122.598534
WA,53011040203,61272545,217379,23.657,0.084,45.8428093,-122.5763423
WA,53011040301,28372865,910095,10.955,0.351,45.8446744,-122.707967
WA,53011040302,58566971,6543647,22.613,2.527,45.8085138,-122.7302143
WA,53011040403,42758301,137968,16.509,0.053,45.788947,-122.6363851
WA,53011040407,5736079,0,2.215,0,45.7736235,-122.5243706
WA,53011040408,20313215,6272,7.843,0.002,45.7512689,-122.5617122
WA,53011040409,8280669,0,3.197,0,45.7393308,-122.6210146
WA,53011040411,2049295,0,0.791,0,45.718068,-122.6438862
WA,53011040412,3935037,0,1.519,0,45.7386229,-122.6499865
WA,53011040413,6561747,0,2.534,0,45.773184,-122.5736758
WA,53011040414,12712421,0,4.908,0,45.7946363,-122.5749673
WA,53011040415,3596132,0,1.388,0,45.7909813,-122.5367058
WA,53011040416,20044050,102869,7.739,0.04,45.8057468,-122.5107768
WA,53011040504,194499556,96938,75.097,0.037,45.7736987,-122.3595744
WA,53011040505,39997616,0,15.443,0,45.7576662,-122.4696311
WA,53011040507,25473032,8123515,9.835,3.137,45.5634331,-122.2960013
WA,53011040508,6426608,92673,2.481,0.036,45.5888343,-122.324294
WA,53011040509,1896755,812874,0.732,0.314,45.5798368,-122.3603524
WA,53011040510,47075905,380050,18.176,0.147,45.6130262,-122.3272285
WA,53011040511,86155139,10974,33.265,0.004,45.7009639,-122.3246417
WA,53011040603,55563824,0,21.453,0,45.684575,-122.424069
WA,53011040604,22100136,0,8.533,0,45.6636568,-122.4667431
WA,53011040605,21104046,632410,8.148,0.244,45.6200646,-122.4064762
WA,53011040608,9569642,623580,3.695,0.241,45.6152359,-122.4559326
WA,53011040609,3243650,0,1.252,0,45.5949522,-122.44357
WA,53011040610,2983976,62122,1.152,0.024,45.5997111,-122.413807
WA,53011040703,4839487,0,1.869,0,45.6814592,-122.5633825
WA,53011040706,1891206,0,0.73,0,45.6739862,-122.5386917
WA,53011040707,1676265,0,0.647,0,45.68019,-122.5326159
WA,53011040709,11630288,0,4.49,0,45.7157528,-122.5688437
WA,53011040710,27768368,0,10.721,0,45.7224046,-122.5229101
WA,53011040711,2001339,0,0.773,0,45.6879624,-122.542341
WA,53011040712,2905252,0,1.122,0,45.6887816,-122.5161742
WA,53011040803,3771595,0,1.456,0,45.7000322,-122.638414
WA,53011040805,12795003,4329,4.94,0.002,45.7149742,-122.6101076
WA,53011040806,3494973,0,1.349,0,45.6891294,-122.586046
WA,53011040808,3704552,0,1.43,0,45.6860461,-122.6108035
WA,53011040809,2285628,0,0.882,0,45.689549,-122.6401626
