Code,Area (Square meters),Latitude,Longitude
13121000100,3363191,33.7997992,-84.3549254
13121000200,2878574,33.7916329,-84.3641988
13121000400,1605243,33.7883241,-84.3785105
13121000500,3307082,33.7961417,-84.3854516
13121000600,1459853,33.7853862,-84.4056539
13121000700,1746026,33.7799333,-84.4233152
13121001001,935255,33.7828223,-84.3902405
13121001002,1763402,33.7763538,-84.3995123
13121001100,471151,33.7841633,-84.3830169
13121001201,567400,33.7763742,-84.3803049
13121001202,481225,33.776784,-84.3851556
13121001300,1316970,33.7761933,-84.3715699
13121001400,722970,33.7770784,-84.3622634
13121001500,1151121,33.776497,-84.3539007
13121001600,924368,33.766939,-84.3570136
13121001700,1247838,33.7659024,-84.3671952
13121001800,916981,33.7663445,-84.3780718
13121001900,996267,33.7661963,-84.3872629
13121002100,796144,33.765513,-84.3947157
13121002300,1122539,33.7672174,-84.4186028
13121002400,1352248,33.7586698,-84.4248089
13121002500,872202,33.7590744,-84.4126613
13121002600,955900,33.7587958,-84.4026296
13121002800,748079,33.758087,-84.379399
13121002900,714881,33.7580053,-84.3693491
13121003000,1185153,33.758758,-84.3572779
13121003100,875791,33.7520808,-84.3530446
13121003200,1063939,33.7498233,-84.3650959
13121003500,1406170,33.7509444,-84.3916567
13121003600,394280,33.7518752,-84.4029204
13121003700,90578,33.7489883,-84.4101331
13121003800,834768,33.7508286,-84.412023
13121003900,833924,33.7500627,-84.4220948
13121004000,1618674,33.7499759,-84.4361794
13121004100,1265636,33.7408497,-84.428069
13121004200,1247415,33.7390423,-84.4181855
13121004300,614423,33.7453619,-84.4091076
13121004400,825543,33.7407585,-84.401777
13121004800,393122,33.7443311,-84.3839375
13121004900,1094034,33.7409122,-84.3794478
13121005000,1360056,33.7420805,-84.3650954
13121005200,2267291,33.7355106,-84.3544774
13121005300,2215225,33.7321404,-84.3708875
13121005501,1192735,33.729867,-84.3837371
13121005502,1702170,33.7162175,-84.3867651
13121005700,832270,33.7319561,-84.403266
13121005800,1256443,33.731861,-84.4105985
13121006000,1560671,33.7379611,-84.4390857
13121006100,2246955,33.7277552,-84.4370324
13121006200,1040290,33.728483,-84.4217305
13121006300,1325765,33.7237613,-84.3997049
13121006400,1256312,33.7188154,-84.3735791
13121006500,3280251,33.7141012,-84.4101267
13121006601,1954144,33.7115423,-84.4224014
13121006602,634878,33.7186105,-84.4286624
13121006700,3411876,33.7021727,-84.3954527
13121006801,660642,33.7102924,-84.3677884
13121006802,725838,33.7042854,-84.3609663
13121006900,3150781,33.7183138,-84.3587699
13121007001,4562824,33.6915165,-84.3868055
13121007002,4381003,33.6920865,-84.3682107
13121007100,2477926,33.6963573,-84.3546554
13121007200,8967633,33.6563757,-84.3609353
13121007300,7671175,33.672717,-84.3812442
13121007400,2325713,33.6789102,-84.4070935
13121007500,3297941,33.6934857,-84.4097937
13121007602,3369940,33.7109013,-84.4621548
13121007603,3153491,33.7065095,-84.440383
13121007604,1118928,33.7010616,-84.4654727
13121007703,4531671,33.7039885,-84.5086077
13121007704,6832876,33.7080796,-84.4873952
13121007705,3323475,33.683153,-84.4909911
13121007706,13357602,33.6739684,-84.5226963
13121007802,13617609,33.7143952,-84.5299315
13121007805,15200506,33.7542322,-84.5385907
13121007806,5048084,33.7460701,-84.5158656
13121007807,2898746,33.7624507,-84.4968617
13121007808,1630896,33.751633,-84.4998632
13121007900,8452050,33.7322732,-84.4910511
13121008000,5912370,33.7245322,-84.4555814
13121008101,903030,33.7359326,-84.4538952
13121008102,7233099,33.7418287,-84.471601
13121008201,5357899,33.7699904,-84.4826839
13121008202,7029752,33.7793033,-84.5210369
13121008301,2628175,33.764226,-84.4588619
13121008302,1890469,33.7573898,-84.452286
13121008400,1778033,33.7618564,-84.4355748
13121008500,3793335,33.7758562,-84.4443269
13121008601,4510093,33.7814512,-84.4661915
13121008602,4608934,33.7928898,-84.4901297
13121008700,7761979,33.7938339,-84.4598776
13121008800,9792688,33.8123521,-84.4590717
13121008902,7133357,33.7984651,-84.4194299
13121008903,1159631,33.8172088,-84.4416537
13121008904,3065131,33.8192698,-84.4330314
13121009000,3184743,33.814129,-84.4108285
13121009101,1720262,33.8093237,-84.395033
13121009102,1609623,33.8067606,-84.3865964
13121009200,3540286,33.8122786,-84.3618468
13121009300,2447868,33.8212723,-84.3808773
13121009402,1359894,33.8221523,-84.3642584
13121009403,1178580,33.8315945,-84.3599075
13121009404,2069806,33.8385223,-84.3537714
13121009501,4528328,33.830825,-84.3962959
13121009502,1868079,33.8419877,-84.3860683
13121009601,822060,33.8463916,-84.3777069
13121009602,2375923,33.8440942,-84.3614272
13121009603,1878352,33.8343705,-84.3757572
13121009700,10872721,33.8422302,-84.4439703
13121009801,5681482,33.8391503,-84.4145464
13121009802,10584829,33.8636555,-84.4250506
13121009900,7814989,33.8613359,-84.3918503
13121010001,4083734,33.8625134,-84.3754032
13121010002,6361346,33.8680492,-84.3577716
13121010106,6801235,33.988342,-84.332991
13121010107,5352306,33.9779261,-84.3038995
13121010108,5001150,33.9680215,-84.2801292
13121010110,5394717,33.9205401,-84.3632092
13121010113,2208132,33.9039166,-84.3675404
13121010114,4063692,33.8905536,-84.375836
13121010115,3486372,33.8967987,-84.3538038
13121010117,1366292,33.9620438,-84.3590974
13121010118,1970483,33.9735217,-84.3498219
13121010119,2156951,33.9913064,-84.3452346
13121010120,1039199,34.0031967,-84.3409806
13121010121,2096657,33.9311537,-84.3706421
13121010122,3217360,33.9487098,-84.3514006
13121010123,2780907,33.9448567,-84.3638523
13121010204,9768308,33.9220502,-84.420917
13121010205,6607932,33.9194128,-84.4006248
13121010206,14978519,33.8959813,-84.4216668
13121010208,6160141,33.9897059,-84.3662291
13121010209,3903471,33.971313,-84.366547
13121010210,4710424,33.9525466,-84.3796136
13121010211,3863050,33.8812683,-84.3956762
13121010212,3312577,33.9021788,-84.3843624
13121010301,86702784,33.6369797,-84.6514351
13121010303,35014168,33.7082359,-84.5754911
13121010304,39567129,33.658599,-84.5620747
13121010400,185117093,33.5546062,-84.7260797
13121010507,6944913,33.608917,-84.4769375
13121010508,3906744,33.5919667,-84.4764025
13121010510,31190440,33.5485986,-84.544354
13121010511,16240733,33.6142648,-84.5128073
13121010512,9250025,33.593106,-84.539093
13121010513,29253039,33.5920259,-84.5606039
13121010514,47644838,33.5719474,-84.6116201
13121010515,11353976,33.5507439,-84.4935426
13121010516,8412730,33.5747658,-84.4766503
13121010601,2930334,33.6610333,-84.4572758
13121010603,6176044,33.6454932,-84.4694417
13121010604,4741041,33.6280717,-84.4732073
13121010800,5588635,33.6621228,-84.409333
13121011000,2831293,33.6742763,-84.4270054
13121011100,3459695,33.6880886,-84.4272234
13121011201,3738219,33.6923449,-84.4436883
13121011202,3208220,33.6771978,-84.4503095
13121011301,5061441,33.6891521,-84.4681656
13121011303,7021575,33.6689408,-84.4807378
13121011305,2934067,33.6476996,-84.4912744
13121011306,7179207,33.6389921,-84.50339
13121011405,7752879,34.0201892,-84.3498247
13121011410,8027887,33.9934653,-84.2860346
13121011411,7829440,34.0058303,-84.3203283
13121011412,8992649,34.0239783,-84.2943878
13121011414,4696301,34.0060986,-84.2714277
13121011416,6656455,34.0649975,-84.3455864
13121011417,7620561,34.0564726,-84.3693574
13121011418,10865506,34.0392348,-84.3897969
13121011419,6913726,34.045539,-84.372937
13121011420,1663595,34.0332055,-84.3232629
13121011421,3939597,34.0405266,-84.332837
13121011422,4372024,34.0061025,-84.3682633
13121011423,6548290,34.0212455,-84.391009
13121011424,4883258,34.0162479,-84.2585739
13121011425,11157169,34.0137232,-84.2406185
13121011426,1469986,34.0371528,-84.2460359
13121011427,6999767,34.0300462,-84.2714924
13121011503,31075244,34.1059738,-84.3659221
13121011504,59437879,34.1581712,-84.3134107
13121011505,4305079,34.0808748,-84.3731024
13121011506,11408764,34.0799312,-84.4033555
13121011610,4723324,34.0859885,-84.3155129
13121011611,14204459,34.0571527,-84.3084635
13121011612,7447522,34.0064462,-84.2018951
13121011613,6535691,34.0320332,-84.2167367
13121011614,8502577,34.101491,-84.2679865
13121011615,20578284,34.1119279,-84.2897026
13121011616,5720335,34.0721558,-84.2879233
13121011617,6572205,34.0414812,-84.2683928
13121011618,5227442,34.056505,-84.2649627
13121011619,7140129,34.0667902,-84.2448337
13121011620,7780479,34.0716708,-84.2150567
13121011621,11010632,34.0869934,-84.2332337
13121011622,17223892,34.0444026,-84.1466692
13121011623,9296693,34.022421,-84.1803637
13121011624,2709858,34.0787883,-84.191633
13121011625,6136104,34.0286753,-84.1956636
13121011626,5825988,34.0618554,-84.1874179
13121011800,1892525,33.7708994,-84.4087872
