Code, Area (square meter), Latitude, Longitude
53001950100,1615246453,47.1508088,-118.3988155
53001950200,2629319396,46.9252695,-118.5092655
53001950300,725289095,46.8328914,-119.1181312
53001950400,3422470,46.8324166,-119.1664555
53001950500,12385959,46.8105682,-119.1599135
53003960100,1340244511,46.1474746,-117.1964025
53003960200,294895316,46.3442652,-117.3012796
53003960300,3965973,46.4190278,-117.0501391
53003960400,1586749,46.4127102,-117.0673121
53003960500,1850893,46.4061367,-117.0499947
53003960600,4900502,46.3949655,-117.0631243
53005010100,6310337,46.3162074,-119.2644955
53005010201,43504988,46.3306489,-119.3359909
53005010202,5224160,46.3226088,-119.2785281
53005010300,5920778,46.2865938,-119.3089064
53005010400,1502237,46.2814887,-119.2938376
53005010500,2603015,46.2841983,-119.2819
53005010600,7766786,46.2600123,-119.2649214
53005010701,36848714,46.2893195,-119.4523124
53005010703,49114513,46.3387116,-119.4122826
53005010705,7514652,46.2734965,-119.3380039
53005010707,5552300,46.2759694,-119.3701596
53005010708,8568841,46.2933833,-119.3658597
53005010803,11561633,46.2448253,-119.3037315
53005010805,10961930,46.2455125,-119.2586512
53005010807,97473584,46.2051368,-119.4105264
53005010809,3871829,46.2218346,-119.2356515
53005010810,5859620,46.2081839,-119.2564997
53005010811,23220264,46.2207634,-119.3136517
53005010813,20455353,46.1916269,-119.21962
53005010814,93427548,46.1649261,-119.3112181
53005010901,7322315,46.2191229,-119.2093445
53005010902,2563578,46.2062577,-119.1912849
53005011001,4359272,46.2220479,-119.1652925
53005011002,2963049,46.2041758,-119.169451
53005011100,5167030,46.1971927,-119.1489901
53005011200,2518096,46.2045535,-119.1330333
53005011300,5250592,46.2088971,-119.1124925
53005011401,2294219,46.1944727,-119.1192814
53005011402,7313002,46.1798857,-119.1156281
53005011501,52904614,46.1426002,-119.0203912
53005011503,84705132,46.1273102,-119.1328938
53005011504,13258241,46.1544601,-119.0924953
53005011600,1547637325,45.9981564,-119.4876321
53005011700,35167731,46.2045749,-119.7672865
53005011800,876683604,46.2988662,-119.7162676
53005011900,165132479,46.3234455,-119.5823476
53005012000,1140473223,46.5121696,-119.5581728
53007960100,3050054084,48.0774396,-120.5179641
53007960200,2545988920,47.8027874,-120.8977173
53007960300,454613681,47.9416376,-120.4497409
53007960400,136924338,47.9329418,-120.1070751
53007960500,830733829,47.4702971,-120.5755743
53007960600,9082464,47.5090841,-120.4640038
53007960700,136965195,47.5578432,-120.344706
53007960801,25063573,47.4488218,-120.3840392
53007960802,7023068,47.4430187,-120.3292861
53007961000,3011178,47.4216904,-120.3128891
53007961100,6838141,47.4003945,-120.3057995
53007961200,315472063,47.3204855,-120.2639238
53007961301,16711689,47.3943631,-120.3779245
53007961302,27306437,47.4132614,-120.3987639
53009000200,928616677,48.1797346,-124.4116596
53009000300,59395493,47.9449687,-124.3707971
53009000400,1061319590,48.0130485,-124.3181458
53009000600,1066105992,48.0037907,-123.8232377
53009000700,12436409,48.116665,-123.4915638
53009000800,3147267,48.1177852,-123.4627087
53009000900,2317249,48.1144131,-123.4452055
53009001000,1783304,48.1119682,-123.4287236
53009001100,11069843,48.0792075,-123.4393479
53009001200,6626360,48.1000168,-123.411369
53009001300,9985664,48.1042437,-123.3700006
53009001400,92505220,48.0710021,-123.3477931
53009001500,510005733,47.930621,-123.3651009
53009001600,21591300,48.1067388,-123.2334297
53009001700,32361001,48.1171561,-123.1691053
53009001800,221835200,47.9916054,-123.1920584
53009001900,37268797,48.1105655,-123.1039854
53009002000,20799234,48.088003,-123.0627588
53009002100,3769973,48.0787223,-123.100397
53009002300,289851861,47.9733074,-123.0081086
53009940000,110360974,48.3338551,-124.635404
53009990100,0,48.2311825,-123.9388085
53011040101,333652853,45.9208027,-122.364764
53011040102,53791716,45.8495399,-122.4574128
53011040201,59075948,45.893325,-122.673652
53011040202,69870913,45.9159722,-122.598534
53011040203,61272545,45.8428093,-122.5763423
53011040301,28372865,45.8446744,-122.707967
53011040302,58566971,45.8085138,-122.7302143
53011040403,42758301,45.788947,-122.6363851
53011040407,5736079,45.7736235,-122.5243706
53011040408,20313215,45.7512689,-122.5617122
53011040409,8280669,45.7393308,-122.6210146
53011040411,2049295,45.718068,-122.6438862
53011040412,3935037,45.7386229,-122.6499865
53011040413,6561747,45.773184,-122.5736758
53011040414,12712421,45.7946363,-122.5749673
53011040415,3596132,45.7909813,-122.5367058
53011040416,20044050,45.8057468,-122.5107768
53011040504,194499556,45.7736987,-122.3595744
53011040505,39997616,45.7576662,-122.4696311
53011040507,25473032,45.5634331,-122.2960013
53011040508,6426608,45.5888343,-122.324294
53011040509,1896755,45.5798368,-122.3603524
53011040510,47075905,45.6130262,-122.3272285
53011040511,86155139,45.7009639,-122.3246417
53011040603,55563824,45.684575,-122.424069
53011040604,22100136,45.6636568,-122.4667431
53011040605,21104046,45.6200646,-122.4064762
53011040608,9569642,45.6152359,-122.4559326
53011040609,3243650,45.5949522,-122.44357
53011040610,2983976,45.5997111,-122.413807
53011040703,4839487,45.6814592,-122.5633825
53011040706,1891206,45.6739862,-122.5386917
53011040707,1676265,45.68019,-122.5326159
53011040709,11630288,45.7157528,-122.5688437
53011040710,27768368,45.7224046,-122.5229101
53011040711,2001339,45.6879624,-122.542341
53011040712,2905252,45.6887816,-122.5161742
53011040803,3771595,45.7000322,-122.638414
53011040805,12795003,45.7149742,-122.6101076
53011040806,3494973,45.6891294,-122.586046
53011040808,3704552,45.6860461,-122.6108035
53011040809,2285628,45.689549,-122.6401626
53011040810,2212067,45.6825626,-122.6436105
53011040904,4220981,45.7028825,-122.6682987
53011040905,26254488,45.7534052,-122.7001427
53011040907,5454832,45.7143605,-122.7153747
53011040908,4384810,45.7037379,-122.6921501
53011040909,4218361,45.7167147,-122.6749544
53011040910,6958158,45.7336316,-122.6709023
53011041003,3396685,45.6622596,-122.6814208
53011041005,36623087,45.686038,-122.7398063
53011041007,1934809,45.6736564,-122.6748388
53011041008,2564820,45.6866557,-122.6905229
53011041009,2436544,45.6862962,-122.6702876
53011041010,3577020,45.6722381,-122.6504034
53011041011,3937924,45.6580555,-122.6489455
53011041104,1907451,45.6692934,-122.5736274
53011041105,4604521,45.6705344,-122.6177315
53011041107,2031927,45.6714148,-122.5911988
53011041108,3199795,45.6571872,-122.5884604
53011041110,3087797,45.6547166,-122.6262557
53011041111,747520,45.6456264,-122.608894
53011041112,2280650,45.6559176,-122.6076154
53011041201,4107951,45.6087262,-122.5642452
53011041203,3906367,45.6458379,-122.5818044
53011041205,2466933,45.6322587,-122.5877567
53011041206,3104270,45.6307864,-122.5689258
53011041309,3049427,45.6060986,-122.5442198
53011041310,3535536,45.5970739,-122.5155923
53011041312,2795047,45.6634143,-122.5441662
53011041313,1740747,45.6544403,-122.5632352
53011041317,2939796,45.6322157,-122.5524531
53011041318,3462621,45.63202,-122.5371638
53011041319,3253052,45.6352312,-122.5177639
53011041320,2225841,45.6216076,-122.5125594
53011041321,4097556,45.6290579,-122.4888805
53011041322,2098261,45.6155173,-122.5405729
53011041323,2076878,45.6112782,-122.5149151
53011041325,4758377,45.5885856,-122.4799189
53011041326,3482817,45.664489,-122.5185965
53011041327,7286352,45.6495567,-122.492233
53011041328,5485526,45.601075,-122.4749338
53011041329,3192375,45.6134323,-122.4888803
53011041330,1847272,45.6502513,-122.5389285
53011041331,1458502,45.6495871,-122.5520613
53011041332,1570729,45.6466368,-122.5184158
53011041333,1462338,45.6535585,-122.5199274
53011041400,8646984,45.5796068,-122.4326851
53011041500,3601956,45.583427,-122.3896813
53011041600,2693534,45.6385848,-122.6182829
53011041700,1133324,45.6411339,-122.639812
53011041800,1443600,45.6452114,-122.6536158
53011041900,1176296,45.6467352,-122.6663486
53011042000,698028,45.6522499,-122.6757531
53011042100,1316511,45.6452076,-122.6798981
53011042300,1208082,45.6357131,-122.6791221
53011042400,1027073,45.6246604,-122.6803105
53011042500,931478,45.6334199,-122.66791
53011042600,7399102,45.6215353,-122.6508691
53011042700,1191517,45.6336351,-122.6320231
53011042800,2472527,45.6235554,-122.6236787
53011042900,1578450,45.6250255,-122.6075072
53011043000,1315540,45.6253467,-122.597066
53011043100,3010904,45.6141997,-122.5882431
53013960200,2249624732,46.2928505,-117.9116345
53015000300,24012229,46.1054287,-122.9326045
53015000400,2188954,46.1377561,-122.9451253
53015000501,1105586,46.1279207,-122.9523467
53015000502,1467983,46.1252755,-122.9607436
53015000601,1226953,46.1399901,-122.9668806
53015000602,2310065,46.1451129,-122.9541722
53015000702,2978998,46.1553533,-122.971161
53015000703,5020434,46.1555542,-123.0023854
53015000704,6629366,46.1687751,-122.9960412
53015000800,16011915,46.1721458,-122.9549844
53015000900,13612796,46.180952,-122.9271421
53015001000,785580,46.1462992,-122.9153962
53015001100,6541358,46.1283435,-122.9026388
53015001200,20065484,46.1296556,-122.8729754
53015001300,9875471,46.1770031,-122.8874011
53015001501,406203731,46.0371496,-122.4785461
53015001502,71995520,45.9208101,-122.7587171
53015001600,106616320,46.0301286,-122.7847551
53015001700,393385300,46.1340403,-122.7497227
53015001800,1149206221,46.2507184,-122.4846521
53015001900,292662778,46.2455926,-123.0929788
53015002001,227673778,46.3315209,-123.0497709
53015002002,188664477,46.3203752,-122.842564
53015002100,3479743,46.1325245,-122.925376
53017950100,2155486864,47.909828,-119.5449568
53017950200,2345375029,47.5940007,-119.7789778
53017950300,183770305,47.3750711,-120.155408
53017950400,10707895,47.4471864,-120.2927632
53017950500,2347524,47.4186507,-120.2908202
53017950600,5925848,47.4260345,-120.2700042
53017950700,2636822,47.4111559,-120.2707239
53017950800,5619042,47.3960556,-120.2643556
53019940000,2807565539,48.2182274,-118.5224708
53019970100,2004646391,48.7935735,-118.4168881
53019970200,894148762,48.6432466,-118.664512
53021020100,38565141,46.2429771,-119.0647059
53021020200,2476580,46.2364726,-119.0967532
53021020300,3631182,46.2493847,-119.1100996
53021020400,4440350,46.233135,-119.1187903
53021020501,9219336,46.251801,-119.2036663
53021020502,11021799,46.2434073,-119.1565584
53021020601,534053859,46.4364178,-119.1267747
53021020603,3062316,46.266832,-119.2019488
53021020605,7141870,46.2682466,-119.1619365
53021020606,9598791,46.2784803,-119.2378996
53021020700,1408050573,46.5091907,-118.6934019
53021020800,1177246226,46.6393457,-119.0316968
53021980100,7209999,46.2658531,-119.1196036
53023970300,1841054914,46.4294779,-117.5367111
53025010100,1361202730,47.6470649,-119.1859597
53025010200,1099370067,47.2696226,-119.1711192
53025010300,151605781,47.3647341,-119.4706652
53025010400,82368218,47.3329671,-119.5435418
53025010500,716418943,47.3094355,-119.8438528
53025010600,8428676,47.2361864,-119.8562646
53025010700,853622124,47.0474885,-119.6084876
53025010800,37645066,47.1978989,-119.3190597
53025010901,11269564,47.1741358,-119.2879421
53025010902,17171326,47.1356118,-119.323049
53025011000,95321678,47.1239862,-119.2273265
53025011100,8389386,47.1064945,-119.3104372
53025011200,568765672,47.2353603,-119.5761153
53025011300,284854834,46.9783547,-119.0963794
53025011401,268105925,46.9174129,-119.414507
53025011402,1375292900,46.8123207,-119.7135657
53027000200,317752654,47.1038049,-124.1174848
53027000300,1445790289,47.2804542,-123.8016043
53027000400,649250236,47.1562306,-123.5884695
53027000500,135141036,47.0226388,-123.434974
53027000600,99153354,47.0400218,-123.2725012
53027000700,979894609,46.8838437,-123.4719192
53027000800,83829371,46.9760205,-123.706088
53027000900,23490608,46.9487873,-123.7925006
53027001000,6302527,46.9809214,-123.7925587
53027001100,5827478,46.9885769,-123.8285234
53027001200,3589209,46.9685991,-123.8400085
53027001300,41384638,47.0145337,-123.8554836
53027001400,29029336,47.0289826,-123.8907017
